date,academic_event,period_type
2025-02-11,Regular Classes,Class Period
2025-02-10,Regular Classes,Class Period
2025-02-09,Weekend,No Class
2025-02-07,Regular Classes,Class Period
2025-02-05,Regular Classes,Class Period
2025-02-04,Regular Classes,Class Period
2025-02-02,Weekend,No Class
2025-02-01,Weekend,No Class
2025-01-31,Regular Classes,Class Period
2025-01-29,Regular Classes,Class Period
2025-01-28,Regular Classes,Class Period
2025-01-27,Regular Classes,Class Period
2025-01-26,Weekend,No Class
2025-01-24,Regular Classes,Class Period
2025-01-19,Weekend,No Class
2025-01-18,Weekend,No Class
2025-01-17,Regular Classes,Class Period
2025-01-15,Regular Classes,Class Period
2025-01-13,Christmas Holiday,Break
2025-01-11,Christmas Holiday,Break
2025-01-09,Christmas Holiday,Break
2025-01-07,Christmas Holiday,Break
2025-01-06,Christmas Holiday,Break
2025-01-05,Christmas Holiday,Break
2025-01-04,Christmas Holiday,Break
2025-01-02,Christmas Holiday,Break
2024-12-31,Christmas Holiday,Break
2024-12-30,Christmas Holiday,Break
2024-12-28,Christmas Holiday,Break
2024-12-26,Christmas Holiday,Break
2024-12-25,Christmas Holiday,Break
2024-12-24,Christmas Holiday,Break
2024-12-23,Christmas Holiday,Break
2024-12-22,Christmas Holiday,Break
2024-12-21,Christmas Holiday,Break
2024-12-20,Christmas Holiday,Break
2024-12-18,Christmas Holiday,Break
2024-12-17,Christmas Holiday,Break
2024-12-15,Weekend,No Class
2024-12-14,Weekend,No Class
2024-12-13,Finals Week, Exam Period
2024-12-12,Finals Week, Exam Period
2024-12-11,Finals Week, Exam Period
2024-12-08,Study Day, Exam Period
2024-12-07,Study Day, Exam Period
2024-12-06,Regular Classes,Class Period
2024-12-05,Regular Classes,Class Period
2024-12-04,Regular Classes,Class Period
2024-12-02,Regular Classes,Class Period
2024-12-01,Weekend,No Class
2024-11-30,Weekend,No Class
2024-11-28,Thanksgiving Holiday,Break
2024-11-27,Thanksgiving Holiday,Break
2024-11-26,Regular Classes,Class Period
2024-11-25,Regular Classes,Class Period
2024-11-24,Weekend,No Class
2024-11-21,Regular Classes,Class Period
2024-11-20,Regular Classes,Class Period
2024-11-15,Regular Classes,Class Period
2024-11-14,Regular Classes,Class Period
2024-11-13,Regular Classes,Class Period
2024-11-11,Regular Classes,Class Period
2024-11-10,Weekend,No Class
2024-11-09,Weekend,No Class
2024-11-08,Regular Classes,Class Period
2024-11-07,Regular Classes,Class Period
2024-11-06,Regular Classes,Class Period
2024-11-05,Regular Classes,Class Period
2024-11-03,Regular Classes,Class Period
2024-11-02,Weekend,No Class
2024-11-01,Regular Classes,Class Period